periodo,submercado,posto,nome,geracao
149,1,2,EOL2,42.59178039
149,1,3,SOLAR,0.0
150,1,1,EOL1,104.0949505
150,1,2,EOL2,41.9478442
150,1,3,SOLAR,0.0
151,1,1,EOL1,103.1266253
151,1,2,EOL2,39.74006292
151,1,3,SOLAR,16.40657459
152,1,1,EOL1,98.28499968
152,1,2,EOL2,36.70436368
152,1,3,SOLAR,108.4434565
153,1,1,EOL1,94.4116992
153,1,2,EOL2,32.28880112
153,1,3,SOLAR,198.4795365
154,1,1,EOL1,87.1492608
154,1,2,EOL2,25.29749377
154,1,3,SOLAR,233.6936477
155,1,1,EOL1,77.4660096
155,1,2,EOL2,18.85813171
155,1,3,SOLAR,232.0930063
156,1,1,EOL1,68.26692096
156,1,2,EOL2,14.71854182
156,1,3,SOLAR,229.2918839
157,1,1,EOL1,59.55199488
157,1,2,EOL2,11.03890637
157,1,3,SOLAR,228.4915633
158,1,1,EOL1,51.32123134
158,1,2,EOL2,8.463161549
158,1,3,SOLAR,215.6864318
159,1,1,EOL1,45.02711808
159,1,2,EOL2,7.543252685
159,1,3,SOLAR,164.8660666
160,1,1,EOL1,44.54295554
160,1,2,EOL2,8.003207117
160,1,3,SOLAR,100.4402493
161,1,1,EOL1,52.28955648
161,1,2,EOL2,8.555152435
161,1,3,SOLAR,61.22453444
162,1,1,EOL1,70.2035712
162,1,2,EOL2,8.279179776
162,1,3,SOLAR,20.40817815
163,1,1,EOL1,90.53839872
163,1,2,EOL2,9.475061299
163,1,3,SOLAR,0.0
164,1,1,EOL1,100.2216499
164,1,2,EOL2,13.79863296
164,1,3,SOLAR,0.0
165,1,1,EOL1,101.189975
165,1,2,EOL2,17.38627753
165,1,3,SOLAR,0.0
166,1,1,EOL1,101.6741376
166,1,2,EOL2,19.04211348
166,1,3,SOLAR,0.0
167,1,1,EOL1,104.0949505
167,1,2,EOL2,22.44577628
167,1,3,SOLAR,0.0
168,1,1,EOL1,103.1266253
168,1,2,EOL2,25.11351199
168,1,3,SOLAR,0.0
