periodo,submercado,nome,geracao,status,acionamento,desligamento
63,1,GT1,200.0,1.0,0.0,0.0
63,1,GT2,10.0,1.0,1.0,0.0
63,1,GT3,0.0,0.0,0.0,0.0
63,1,GT4,0.0,0.0,0.0,0.0
63,1,GT5,0.0,0.0,0.0,0.0
64,1,GT1,200.0,1.0,0.0,0.0
64,1,GT2,50.0,1.0,0.0,0.0
64,1,GT3,0.0,0.0,0.0,0.0
64,1,GT4,0.0,0.0,0.0,0.0
64,1,GT5,0.0,0.0,0.0,0.0
65,1,GT1,200.0,1.0,0.0,0.0
65,1,GT2,108.20400295600007,1.0,0.0,0.0
65,1,GT3,0.0,0.0,0.0,0.0
65,1,GT4,0.0,0.0,0.0,0.0
65,1,GT5,0.0,0.0,0.0,0.0
66,1,GT1,200.0,1.0,0.0,0.0
66,1,GT2,132.24093317079996,1.0,0.0,0.0
66,1,GT3,0.0,0.0,0.0,0.0
66,1,GT4,0.0,0.0,0.0,0.0
66,1,GT5,0.0,0.0,0.0,0.0
67,1,GT1,200.0,1.0,0.0,0.0
67,1,GT2,162.83004913779996,1.0,0.0,0.0
67,1,GT3,0.0,0.0,0.0,0.0
67,1,GT4,0.0,0.0,0.0,0.0
67,1,GT5,0.0,0.0,0.0,0.0
68,1,GT1,200.0,1.0,0.0,0.0
68,1,GT2,160.27788201080023,1.0,0.0,0.0
68,1,GT3,0.0,0.0,0.0,0.0
68,1,GT4,0.0,0.0,0.0,0.0
68,1,GT5,0.0,0.0,0.0,0.0
69,1,GT1,200.0,1.0,0.0,0.0
69,1,GT2,142.18434293080009,1.0,0.0,0.0
69,1,GT3,0.0,0.0,0.0,0.0
69,1,GT4,0.0,0.0,0.0,0.0
69,1,GT5,0.0,0.0,0.0,0.0
70,1,GT1,200.0,1.0,0.0,0.0
70,1,GT2,125.62368729080015,1.0,0.0,0.0
70,1,GT3,0.0,0.0,0.0,0.0
70,1,GT4,0.0,0.0,0.0,0.0
70,1,GT5,0.0,0.0,0.0,0.0
71,1,GT1,200.0,1.0,0.0,0.0
71,1,GT2,50.0,1.0,0.0,0.0
71,1,GT3,0.0,0.0,0.0,0.0
71,1,GT4,0.0,0.0,0.0,0.0
71,1,GT5,0.0,0.0,0.0,0.0
72,1,GT1,200.0,1.0,0.0,0.0
72,1,GT2,200.0,1.0,0.0,0.0
72,1,GT3,0.0,0.0,0.0,0.0
72,1,GT4,0.0,0.0,0.0,0.0
72,1,GT5,0.0,0.0,0.0,0.0
73,1,GT1,200.0,1.0,0.0,0.0
73,1,GT2,200.0,1.0,0.0,0.0
73,1,GT3,0.0,0.0,0.0,0.0
73,1,GT4,0.0,0.0,0.0,0.0
73,1,GT5,0.0,0.0,0.0,0.0
74,1,GT1,200.0,1.0,0.0,0.0
74,1,GT2,200.0,1.0,0.0,0.0
74,1,GT3,0.0,0.0,0.0,0.0
74,1,GT4,0.0,0.0,0.0,0.0
74,1,GT5,0.0,0.0,0.0,0.0
75,1,GT1,200.0,1.0,0.0,0.0
75,1,GT2,68.02980750967998,1.0,0.0,0.0
75,1,GT3,0.0,0.0,0.0,0.0
75,1,GT4,0.0,0.0,0.0,0.0
75,1,GT5,0.0,0.0,0.0,0.0
76,1,GT1,200.0,1.0,0.0,0.0
76,1,GT2,50.0,1.0,0.0,0.0
76,1,GT3,0.0,0.0,0.0,0.0
76,1,GT4,0.0,0.0,0.0,0.0
76,1,GT5,0.0,0.0,0.0,0.0
77,1,GT1,200.0,1.0,0.0,0.0
77,1,GT2,50.0,1.0,0.0,0.0
77,1,GT3,0.0,0.0,0.0,0.0
77,1,GT4,0.0,0.0,0.0,0.0
77,1,GT5,0.0,0.0,0.0,0.0
78,1,GT1,200.0,1.0,0.0,0.0
78,1,GT2,57.959042149680045,1.0,0.0,0.0
78,1,GT3,0.0,0.0,0.0,0.0
78,1,GT4,0.0,0.0,0.0,0.0
78,1,GT5,0.0,0.0,0.0,0.0
79,1,GT1,200.0,1.0,0.0,0.0
79,1,GT2,200.0,1.0,0.0,0.0
79,1,GT3,0.0,0.0,0.0,0.0
79,1,GT4,0.0,0.0,0.0,0.0
79,1,GT5,0.0,0.0,0.0,0.0
80,1,GT1,200.0,1.0,0.0,0.0
80,1,GT2,56.64691888968008,1.0,0.0,0.0
80,1,GT3,0.0,0.0,0.0,0.0
80,1,GT4,0.0,0.0,0.0,0.0
80,1,GT5,0.0,0.0,0.0,0.0
81,1,GT1,200.0,1.0,0.0,0.0
81,1,GT2,200.0,1.0,0.0,0.0
81,1,GT3,0.0,0.0,0.0,0.0
81,1,GT4,0.0,0.0,0.0,0.0
81,1,GT5,0.0,0.0,0.0,0.0
82,1,GT1,200.0,1.0,0.0,0.0
82,1,GT2,200.0,1.0,0.0,0.0
82,1,GT3,0.0,0.0,0.0,0.0
82,1,GT4,0.0,0.0,0.0,0.0
82,1,GT5,0.0,0.0,0.0,0.0
83,1,GT1,200.0,1.0,0.0,0.0
83,1,GT2,200.0,1.0,0.0,0.0
83,1,GT3,0.0,0.0,0.0,0.0
83,1,GT4,0.0,0.0,0.0,0.0
83,1,GT5,0.0,0.0,0.0,0.0
84,1,GT1,200.0,1.0,0.0,0.0
84,1,GT2,200.0,1.0,0.0,0.0
84,1,GT3,0.0,0.0,0.0,0.0
84,1,GT4,0.0,0.0,0.0,0.0
84,1,GT5,0.0,0.0,0.0,0.0
85,1,GT1,200.0,1.0,0.0,0.0
85,1,GT2,200.0,1.0,0.0,0.0
85,1,GT3,0.0,0.0,0.0,0.0
85,1,GT4,0.0,0.0,0.0,0.0
85,1,GT5,0.0,0.0,0.0,0.0
86,1,GT1,200.0,1.0,0.0,0.0
86,1,GT2,200.0,1.0,0.0,0.0
